"ABQ97200","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/68(H3N2))","","","","c"
"AAK51718","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1/1968(H3N2))","","c"
"ACF22221","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-2/1968(H3N2))","","","","c"
"ACF22243","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-5/1968(H3N2))","","","","c"
"ACF54411","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-8/1968(H3N2))","","","","c"
"ACF22287","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-10/1968(H3N2))","","","","c"
"ACF22298","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-12/1968(H3N2))","","","","c"
"ACF22210","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-1/1968(H3N2))","","","","c"
"ACF22232","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-4/1968(H3N2))","","","","c"
"ACF54422","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-11/1968(H3N2))","","","","c"
"ACF22254","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-6/1968(H3N2))","","","","c"
"ACF22265","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-7/1968(H3N2))","","","","c"
"ACF22276","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1-9/1968(H3N2))","","","","c"
"ACU79871","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1/1968(H3N2))","","","","c"
"AFG71887","566","Human","HA","H3N2","Hong Kong","N","1968","Influenza A virus (A/Hong Kong/1/1968(H3N2))","","","","c"
"ABB80034","566","Human","HA","H3N2","Hong Kong","N","1969","Influenza A virus (A/Hong Kong/3/1969(H3N2))","","","","c"
"ABB82227","566","Human","HA","H3N2","Hong Kong","N","1971","Influenza A virus (A/Hong Kong/46/1971(H3N2))","","","","c"
"AFG71942","566","Human","HA","H3N2","Hong Kong","N","1971","Influenza A virus (A/Hong Kong/107/1971(H3N2))","","","","c"
"ABB04371","566","Human","HA","H3N2","Hong Kong","N","1972","Influenza A virus (A/Hong Kong/6/1972(H3N2))","","","","c"
"ABB80023","566","Human","HA","H3N2","Hong Kong","N","1972","Influenza A virus (A/Hong Kong/50/1972(H3N2))","","","","c"
"ABB04338","566","Human","HA","H3N2","Hong Kong","N","1973","Influenza A virus (A/Hong Kong/11/1973(H3N2))","","","","c"
"ABD60790","566","Human","HA","H3N2","Hong Kong","N","1973","Influenza A virus (A/Hong Kong/33/1973(H3N2))","","","","c"
"ABB04294","566","Human","HA","H3N2","Hong Kong","N","1974","Influenza A virus (A/Hong Kong/14/1974(H3N2))","","","","c"
"ABC40619","566","Human","HA","H3N2","Hong Kong","N","1974","Influenza A virus (A/Hong Kong/49/1974(H3N2))","","","","c"
"ABB04928","566","Human","HA","H3N2","Hong Kong","N","1975","Influenza A virus (A/Hong Kong/43/1975(H3N2))","","","","c"
"ABB04283","566","Human","HA","H3N2","Hong Kong","N","1980","Influenza A virus (A/Hong Kong/46/1980(H3N2))","","","","c"
"ABB46547","566","Human","HA","H3N2","Hong Kong","N","1980","Influenza A virus (A/Hong Kong/45/1980(H3N2))","","","","c"
"ABB46403","566","Human","HA","H3N2","Hong Kong","N","1982","Influenza A virus (A/Hong Kong/1/1982(H3N2))","","","","c"
"ABB04917","566","Human","HA","H3N2","Hong Kong","N","1983","Influenza A virus (A/Hong Kong/26/1983(H3N2))","","","","c"
"ABB04939","566","Human","HA","H3N2","Hong Kong","N","1983","Influenza A virus (A/Hong Kong/5/1983(H3N2))","","","","c"
"ABB79788","566","Human","HA","H3N2","Hong Kong","N","1983","Influenza A virus (A/Hong Kong/14/1983(H3N2))","","","","c"
"ABB04950","566","Human","HA","H3N2","Hong Kong","N","1984","Influenza A virus (A/Hong Kong/7/1984(H3N2))","","","","c"
"ABB79799","566","Human","HA","H3N2","Hong Kong","N","1984","Influenza A virus (A/Hong Kong/4/1984(H3N2))","","","","c"
"ABB04305","566","Human","HA","H3N2","Hong Kong","N","1985","Influenza A virus (A/Hong Kong/6/1985(H3N2))","","","","c"
"ABB04327","566","Human","HA","H3N2","Hong Kong","N","1985","Influenza A virus (A/Hong Kong/24/1985(H3N2))","","","","c"
"ABB04349","566","Human","HA","H3N2","Hong Kong","N","1985","Influenza A virus (A/Hong Kong/7/1985(H3N2))","","","","c"
"ABB04360","566","Human","HA","H3N2","Hong Kong","N","1987","Influenza A virus (A/Hong Kong/7/1987(H3N2))","","","","c"
"ABB04316","566","Human","HA","H3N2","Hong Kong","N","1988","Influenza A virus (A/Hong Kong/2/1988(H3N2))","","","","c"
"AFG72129","566","Human","HA","H3N2","Hong Kong","N","1989","Influenza A virus (A/Hong Kong/1/1989(H3N2))","","","","c"
"AFG72140","566","Human","HA","H3N2","Singapore","T","1989","Influenza A virus (A/Singapore/53/1989(H3N2))","","","","c"
"AFG99369","566","Human","HA","H3N2","Singapore","T","1989","Influenza A virus (A/Singapore/34/1989(H3N2))","","","","c"
"AFG99380","566","Human","HA","H3N2","Singapore","T","1989","Influenza A virus (A/Singapore/35/1989(H3N2))","","","","c"
