"ABG88729","566","Human","HA","H3N2","USA","N","1993/01/16","Influenza A virus (A/New York/754/1993(H3N2))","50y","M","","c"
"ABG80414","566","Human","HA","H3N2","USA","N","1993/02/01","Influenza A virus (A/New York/779/1993(H3N2))","72y","F","","c"
"ABG48280","566","Human","HA","H3N2","USA","N","1993/02/02","Influenza A virus (A/New York/756/1993(H3N2))","18y","M","","c"
"ABG80403","566","Human","HA","H3N2","USA","N","1993/02/02","Influenza A virus (A/New York/778/1993(H3N2))","78y","F","","c"
"ABI30854","566","Human","HA","H3N2","USA","N","1993/02/02","Influenza A virus (A/New York/793/1993(H3N2))","89y","F","","c"
"ABG48291","566","Human","HA","H3N2","USA","N","1993/02/03","Influenza A virus (A/New York/758/1993(H3N2))","20y","F","","c"
"ABG48335","566","Human","HA","H3N2","USA","N","1993/02/04","Influenza A virus (A/New York/762/1993(H3N2))","93y","F","","c"
"ABI21387","566","Human","HA","H3N2","USA","N","1993/02/04","Influenza A virus (A/New York/790/1993(H3N2))","83y","F","","c"
"ABI21431","566","Human","HA","H3N2","USA","N","1993/02/04","Influenza A virus (A/New York/795/1993(H3N2))","85y","F","","c"
"ABG48313","566","Human","HA","H3N2","USA","N","1993/02/09","Influenza A virus (A/New York/760/1993(H3N2))","4m","M","","c"
"ABI21255","566","Human","HA","H3N2","USA","N","1993/02/15","Influenza A virus (A/New York/766/1993(H3N2))","32y","M","","c"
"ABI21321","566","Human","HA","H3N2","USA","N","1993/02/18","Influenza A virus (A/New York/776/1993(H3N2))","83y","M","","c"
"ABI30865","566","Human","HA","H3N2","USA","N","1993/02/18","Influenza A virus (A/New York/796/1993(H3N2))","86y","F","","c"
"ABG48357","566","Human","HA","H3N2","USA","N","1993/02/23","Influenza A virus (A/New York/764/1993(H3N2))","30y","M","","c"
"ABI21310","566","Human","HA","H3N2","USA","N","1993/02/25","Influenza A virus (A/New York/774/1993(H3N2))","79y","F","","c"
"ABI21365","566","Human","HA","H3N2","USA","N","1993/02/26","Influenza A virus (A/New York/788/1993(H3N2))","9y","M","","c"
"ABI21332","566","Human","HA","H3N2","USA","N","1993/03/02","Influenza A virus (A/New York/780/1993(H3N2))","95y","F","","c"
"ABI21486","566","Human","HA","H3N2","USA","N","1993/03/02","Influenza A virus (A/New York/802/1993(H3N2))","77y","F","","c"
"ABG48324","566","Human","HA","H3N2","USA","N","1993/03/03","Influenza A virus (A/New York/761/1993(H3N2))","76y","M","","c"
"ABG48368","566","Human","HA","H3N2","USA","N","1993/03/03","Influenza A virus (A/New York/765/1993(H3N2))","97y","F","","c"
"ABG80359","566","Human","HA","H3N2","USA","N","1993/03/04","Influenza A virus (A/New York/770/1993(H3N2))","74y","M","","c"
"ABI21420","566","Human","HA","H3N2","USA","N","1993/03/04","Influenza A virus (A/New York/794/1993(H3N2))","76y","M","","c"
"ABG48302","566","Human","HA","H3N2","USA","N","1993/03/08","Influenza A virus (A/New York/759/1993(H3N2))","90y","F","","c"
"ABI21266","566","Human","HA","H3N2","USA","N","1993/03/09","Influenza A virus (A/New York/768/1993(H3N2))","83y","M","","c"
"ABI21409","566","Human","HA","H3N2","USA","N","1993/03/09","Influenza A virus (A/New York/792/1993(H3N2))","85y","F","","c"
"ABI21453","566","Human","HA","H3N2","USA","N","1993/03/09","Influenza A virus (A/New York/798/1993(H3N2))","76y","M","","c"
"ABI21497","566","Human","HA","H3N2","USA","N","1993/03/09","Influenza A virus (A/New York/803/1993(H3N2))","99y","F","","c"
"ABI21288","566","Human","HA","H3N2","USA","N","1993/03/10","Influenza A virus (A/New York/772/1993(H3N2))","106y","F","","c"
"ABI21354","566","Human","HA","H3N2","USA","N","1993/03/10","Influenza A virus (A/New York/787/1993(H3N2))","103y","F","","c"
"ABI21464","566","Human","HA","H3N2","USA","N","1993/03/10","Influenza A virus (A/New York/799/1993(H3N2))","87y","M","","c"
"ABI21475","566","Human","HA","H3N2","USA","N","1993/03/10","Influenza A virus (A/New York/801/1993(H3N2))","82y","F","","c"
"ABG80381","566","Human","HA","H3N2","USA","N","1993/03/11","Influenza A virus (A/New York/775/1993(H3N2))","91y","M","","c"
"ABI21398","566","Human","HA","H3N2","USA","N","1993/03/11","Influenza A virus (A/New York/791/1993(H3N2))","91y","F","","c"
"ABJ09217","566","Human","HA","H3N2","USA","N","1993/03/11","Influenza A virus (A/New York/800/1993(H3N2))","72y","F","","c"
"ABG88740","566","Human","HA","H3N2","USA","N","1993/03/12","Influenza A virus (A/New York/755/1993(H3N2))","82y","M","","c"
"ABG80425","566","Human","HA","H3N2","USA","N","1993/03/16","Influenza A virus (A/New York/786/1993(H3N2))","1y","M","","c"
"ABI21277","566","Human","HA","H3N2","USA","N","1993/03/16","Influenza A virus (A/New York/769/1993(H3N2))","45y","M","","c"
"ABI21442","566","Human","HA","H3N2","USA","N","1993/03/16","Influenza A virus (A/New York/797/1993(H3N2))","79y","F","","c"
"ABG80392","566","Human","HA","H3N2","USA","N","1993/03/20","Influenza A virus (A/New York/777/1993(H3N2))","70y","M","","c"
"ABG48346","566","Human","HA","H3N2","USA","N","1993/03/26","Influenza A virus (A/New York/763/1993(H3N2))","","F","","c"
"ABG88751","566","Human","HA","H3N2","USA","N","1993/03/26","Influenza A virus (A/New York/781/1993(H3N2))","33y","M","","c"
"ABG88784","566","Human","HA","H3N2","USA","N","1993/03/26","Influenza A virus (A/New York/785/1993(H3N2))","73y","F","","c"
"ABI21244","566","Human","HA","H3N2","USA","N","1993/03/26","Influenza A virus (A/New York/757/1993(H3N2))","67y","M","","c"
"ABI21299","566","Human","HA","H3N2","USA","N","1993/03/31","Influenza A virus (A/New York/773/1993(H3N2))","83y","M","","c"
"ABG88773","566","Human","HA","H3N2","USA","N","1993/04/01","Influenza A virus (A/New York/783/1993(H3N2))","37y","F","","c"
